Injected_Bus,Injected_Phase,Penetration_Scenario,Affected_Bus,Affected_Phase,Active_Sensitivity,Reactive_Sensitivity,V0,V_PF,V_TJSM,Error_Percent_V_TJSM
1,0,0.5,20,2,-0.026,-0.0539,0.9938,0.9938,0.9938,-4.47251e-05
1,0,0.5,21,0,3.0169,9.8768,1.0189,1.0247,1.0248,0.0043221754
1,0,0.5,21,1,0.0591,-0.0045,1.0421,1.0421,1.0421,3.50743e-05
1,0,0.5,21,2,-0.0311,-0.0565,0.9933,0.9933,0.9933,-4.94575e-05
1,0,0.5,22,0,3.0175,9.8787,1.0186,1.0244,1.0245,0.00432488
1,0,0.5,22,1,0.0594,-0.0049,1.0426,1.0426,1.0426,3.50695e-05
1,0,0.5,22,2,-0.0315,-0.0566,0.9938,0.9938,0.9938,-4.9781e-05
1,0,0.5,23,0,3.0161,9.9298,1.0154,1.0212,1.0213,0.0043734551
1,0,0.5,23,1,0.072,-0.0154,1.0432,1.0432,1.0432,3.76452e-05
1,0,0.5,23,2,-0.0475,-0.0668,0.9876,0.9876,0.9876,-6.61619e-05
1,0,0.5,24,0,3.0261,9.9583,1.0134,1.0193,1.0193,0.0044055201
1,0,0.5,24,1,0.0788,-0.0214,1.0412,1.0413,1.0413,3.91607e-05
1,0,0.5,24,2,-0.0559,-0.0716,0.9863,0.9862,0.9862,-7.44698e-05
1,0,0.5,25,0,3.0243,10.0071,1.0092,1.0151,1.0151,0.0044556876
1,0,0.5,25,1,0.0892,-0.0307,1.0443,1.0443,1.0443,4.10252e-05
1,0,0.5,25,2,-0.0695,-0.0796,0.9822,0.9821,0.9821,-8.81168e-05
1,0,0.5,26,0,3.0323,10.0541,1.0051,1.011,1.011,0.0045086229
1,0,0.5,26,1,0.0997,-0.0402,1.0451,1.0451,1.0451,4.30419e-05
1,0,0.5,26,2,-0.0829,-0.0874,0.9807,0.9806,0.9806,-0.0001014309
1,0,0.5,27,0,3.0379,10.1181,1.0,1.0059,1.0059,0.0045776358
1,0,0.5,27,1,0.1138,-0.0527,1.0463,1.0464,1.0464,4.59596e-05
1,0,0.5,27,2,-0.1009,-0.0982,0.9762,0.9761,0.9761,-0.0001199874
1,0,0.5,28,0,3.0335,10.1188,1.0006,1.0065,1.0065,0.0045743499
1,0,0.5,28,1,0.114,-0.0525,1.0455,1.0456,1.0456,4.62694e-05
1,0,0.5,28,2,-0.1013,-0.0986,0.9726,0.9725,0.9725,-0.0001209065
1,0,0.5,29,0,3.0417,10.1173,1.0009,1.0068,1.0068,0.0045757351
1,0,0.5,29,1,0.1143,-0.0527,1.0423,1.0423,1.0423,4.65452e-05
1,0,0.5,29,2,-0.1012,-0.0983,0.9741,0.974,0.974,-0.0001205476
1,0,0.5,30,0,3.0503,10.1902,0.9935,0.9995,0.9995,0.004661349
1,0,0.5,30,1,0.1297,-0.0672,1.0481,1.0482,1.0482,4.89083e-05
1,0,0.5,30,2,-0.1212,-0.1104,0.9743,0.9742,0.9742,-0.0001406072
1,0,0.5,31,0,3.0511,10.212,0.9918,0.9977,0.9977,0.004685037
1,0,0.5,31,1,0.1344,-0.0715,1.0489,1.0489,1.0489,4.9863e-05
1,0,0.5,31,2,-0.1273,-0.1141,0.9726,0.9725,0.9725,-0.0001470711
1,0,0.5,32,0,3.0437,10.2132,0.9921,0.9981,0.9981,0.004681536
1,0,0.5,32,1,0.1345,-0.0711,1.0494,1.0495,1.0495,5.01376e-05
1,0,0.5,32,2,-0.1277,-0.1145,0.9694,0.9693,0.9693,-0.0001480518
1,0,0.5,33,0,3.0438,10.2132,0.9921,0.998,0.9981,0.0046816845
1,0,0.5,33,1,0.1345,-0.0712,1.0494,1.0495,1.0495,5.01426e-05
1,0,0.5,33,2,-0.1277,-0.1144,0.9698,0.9697,0.9697,-0.0001479411
1,0,0.5,34,0,2.9977,9.7434,1.0322,1.0379,1.0379,0.0041745374
1,0,0.5,34,1,0.0265,0.0013,1.0403,1.0403,1.0403,1.74245e-05
1,0,0.5,34,2,-0.0117,-0.0285,1.0006,1.0005,1.0005,-2.2054e-05
1,0,0.5,35,0,3.0154,9.8719,1.0193,1.0251,1.0252,0.0043166912
1,0,0.5,35,1,0.0583,-0.0037,1.0425,1.0425,1.0425,3.49249e-05
1,0,0.5,35,2,-0.03,-0.056,0.9937,0.9937,0.9937,-4.84533e-05
1,0,0.5,36,0,2.9605,9.76,0.9928,0.9985,0.9986,0.0044052223
1,0,0.5,36,1,0.0771,-0.0209,1.0223,1.0223,1.0223,3.89464e-05
1,0,0.5,36,2,-0.0548,-0.0703,0.9662,0.9662,0.9662,-7.44692e-05
1,0,1.0,1,0,2.9817,9.6527,1.0396,1.0508,1.051,0.0161040519
1,0,1.0,1,1,0.0026,0.0016,1.0475,1.0475,1.0475,9.6154e-06
1,0,1.0,1,2,-0.0011,-0.0071,1.0111,1.0111,1.0111,-1.66091e-05
