Injected_Bus,Injected_Phase,Bus_Load,Estimated_MAI,PF_MAI,Estimation_Error,Load_Limited_Estimated_MAI,Load_Limited_PF_MAI
701,704.3614,59,59,0.0,59,59,
728,140.8723,31,38,18.3997,31,38,
