Injected_Bus,Injected_Phase,Bus_Load,Estimated_MAI,PF_MAI,Estimation_Error,Load_Limited_Estimated_MAI,Load_Limited_PF_MAI
701,704.3614,99,109,9.1464,99,109,
728,140.8723,35,42,16.7972,35,42,
